userId,genreId,movieId,rating,timestamp,movieInd,userInd
4,1,610,4.0,949982238,23,0
4,1,1200,5.0,949896244,41,0
4,1,1214,5.0,949810261,42,0
4,1,1219,5.0,949779173,44,0
4,1,1258,5.0,949918743,47,0
4,1,1332,4.0,949896275,60,0
4,1,1334,5.0,949982274,62,0
4,1,1387,5.0,949810261,76,0
4,1,1388,4.0,949810302,77,0
4,1,1994,5.0,949896309,121,0
4,1,2003,2.0,949918970,127,0
4,1,2454,5.0,949982274,162,0
4,1,2551,4.0,949896275,181,0
4,1,2699,4.0,949896497,200,0
4,1,2867,3.0,949918875,222,0
4,1,2902,2.0,949896309,228,0
4,1,2903,1.0,949896309,229,0
4,1,3016,3.0,949896543,235,0
4,2,356,5.0,949919763,862,0
4,2,357,5.0,949919681,863,0
4,2,380,3.0,949810534,867,0
4,2,440,4.0,949919802,870,0
4,2,903,5.0,949919189,908,0
4,2,1022,5.0,949949638,921,0
4,2,1257,5.0,949811602,935,0
4,2,1265,5.0,949919591,937,0
4,2,1674,5.0,949896244,968,0
4,2,1917,4.0,949810688,990,0
4,2,2020,4.0,949811738,999,0
4,2,2080,5.0,949919306,1005,0
4,2,2081,4.0,949982239,1006,0
4,2,2100,5.0,949896114,1008,0
4,2,3108,5.0,949919738,1085,0
8,1,593,4.5,1154464833,21,1
8,1,1219,4.0,1154465573,44,1
8,1,1258,4.0,1154465555,47,1
8,1,1387,4.0,1154465285,76,1
8,1,2762,4.5,1154464717,208,1
8,1,2841,3.0,1154400360,219,1
8,1,8874,3.0,1154465548,513,1
8,2,356,4.0,1154400390,862,1
8,2,543,5.0,1154389386,884,1
8,2,1265,3.0,1154465230,937,1
8,2,1393,3.0,1154400324,943,1
8,2,1500,4.0,1154465235,954,1
8,2,1674,4.0,1154389491,968,1
8,2,1704,4.0,1154473252,971,1
8,2,2100,3.0,1154389460,1008,1
8,2,2324,4.0,1154464850,1027,1
8,2,2858,4.5,1154464950,1061,1
8,2,4973,4.0,1154465373,1208,1
8,2,7361,4.0,1154465367,1328,1
8,2,8533,2.5,1154400471,1358,1
8,2,34162,3.5,1154400423,1431,1
8,2,42007,2.0,1154473042,1439,1
12,1,253,3.0,968045587,10,2
12,1,1215,5.0,968045353,43,2
12,1,1387,4.0,968045475,76,2
12,1,2460,4.0,968045680,166,2
12,1,2668,2.0,968045764,199,2
12,1,3770,3.0,968045619,287,2
12,1,3798,4.0,968045232,290,2
12,1,3863,5.0,968045015,301,2
12,2,1235,5.0,968045354,933,2
12,2,1639,2.0,968045438,967,2
12,2,3825,5.0,968045142,1126,2
12,2,3829,2.0,968045106,1127,2
12,2,3885,3.0,968044949,1131,2
15,1,22,2.5,1093070415,1,3
15,1,70,0.5,1093070467,2,3
15,1,196,2.0,1093070170,8,3
15,1,253,2.0,1093028328,10,3
15,1,593,5.0,997938500,21,3
15,1,610,3.0,1052896916,23,3
15,1,724,2.0,1166586237,25,3
15,1,799,3.0,1136904835,29,3
15,1,1200,4.0,997938528,41,3
15,1,1214,4.0,997938203,42,3
15,1,1215,1.5,1054271469,43,3
15,1,1219,3.0,997938203,44,3
15,1,1258,4.0,997938219,47,3
15,1,1320,3.0,1134521497,49,3
15,1,1333,2.0,997938219,61,3
15,1,1334,2.0,1052896916,62,3
15,1,1342,2.0,1033345050,68,3
15,1,1387,4.0,1040205754,76,3
15,1,1407,5.0,997938219,79,3
15,1,1644,1.5,1166586517,85,3
15,1,1690,1.0,1134521603,87,3
15,1,1717,4.0,1166586533,89,3
15,1,1862,2.0,1469330647,93,3
15,1,1994,2.5,1166586228,121,3
15,1,1997,5.0,997938255,124,3
15,1,2003,3.0,1034544351,127,3
15,1,2160,3.0,1166586521,140,3
15,1,2167,3.0,997939162,143,3
15,1,2232,4.0,997938466,144,3
15,1,2288,3.0,1052896740,148,3
15,1,2366,3.0,1040205792,155,3
15,1,2428,1.0,1033344782,158,3
15,1,2455,3.5,1166586146,163,3
15,1,2560,3.0,1033344917,184,3
15,1,2617,1.0,1093070339,187,3
15,1,2648,3.0,997938219,191,3
15,1,2657,2.0,1052896819,196,3
15,1,2699,3.0,1033345068,200,3
15,1,2710,1.0,1033344702,201,3
15,1,2713,1.0,1033344834,202,3
15,1,2722,2.0,1033344732,204,3
15,1,2762,1.0,997938500,208,3
15,1,2841,2.0,1033344958,219,3
15,1,3113,2.0,1166587025,241,3
15,1,3273,1.0,997937890,245,3
15,1,3300,5.0,997937876,247,3
15,1,3476,4.5,1465881233,253,3
